country,year,Preparing for reuse,Products put on the market,recovered_kg_per_cap,recycled_kg_per_cap,Recycling and preparing for reuse,collected_kg_per_cap,Waste collected from households,Waste collected from other sources,generated_kg_per_cap,Waste treated in another Member State of the EU,Waste treated in the Member State,Waste treated outside the EU,treatment_kg_per_cap,countryiso3code_x,gdp_per_capita,countryiso3code_y,population,log_gdp,log_population,generated_kg_per_cap_tonnes,collected_kg_per_cap_tonnes,recycled_kg_per_cap_tonnes,treatment_kg_per_cap_tonnes,recovered_kg_per_cap_tonnes
Austria,2012,0.29,56.32,24.759999999999998,,22.03,27.549999999999997,18.18,0.18,,0.06,27.48,0.0,27.549999999999997,AT,48250.4059142637,AT,8429991.0,10.7841595194626,15.94730626236181,,232246.25204999998,,232246.25204999998,208726.57716
Austria,2013,0.31,55.14,24.410000000000004,,21.490000000000002,27.19,17.94,0.21000000000000002,,0.51,26.68,0.02,27.19,AT,50305.3545774973,AT,8479823.0,10.825866803255078,15.95320013490874,,230566.38737,,230566.38737,206992.47943000004
Austria,2014,0.31,58.03,25.21,,21.72,27.27,17.96,0.24,,0.16999999999999998,26.990000000000002,0.1,27.27,AT,51314.9722616322,AT,8546356.0,10.8457378455288,15.961015551233999,,233059.12812,,233059.12812,215453.63476000002
Austria,2015,0.4,64.79,25.71,,22.6,27.85,18.27,0.32,,0.08,27.75,0.02,27.85,AT,43915.228020857,AT,8642699.0,10.690016418660566,15.972225476257695,,240699.16715,,240699.16715,222203.79129000002
Austria,2016,0.45,73.97,28.3,,25.240000000000002,30.839999999999996,20.75,0.38,,0.45,30.32,0.05,30.839999999999996,AT,45061.4993920192,AT,8736668.0,10.715783488887995,15.983039439244974,,269438.84111999994,,269438.84111999994,247247.70440000002
Austria,2017,2.24,74.73,38.59,,33.089999999999996,41.32,27.41,0.67,,3.42,37.82,0.05,41.32,AT,47163.7425775142,AT,8797566.0,10.76138071065254,15.989985650281024,,363515.42712,,363515.42712,339498.07194000005
Austria,2018,2.25,82.36,37.980000000000004,,32.63,40.9,27.4,0.33,,3.4399999999999995,37.34,0.08,40.9,AT,51194.0749841299,AT,8840521.0,10.843379081364967,15.994856369528714,,361577.3089,,361577.3089,335762.98758
Austria,2019,3.21,67.22,35.15,27.82,31.03,37.620000000000005,36.83,0.79,,6.44,31.16,0.01,37.620000000000005,AT,49885.9947355204,AT,8879920.0,10.817495575722525,15.999303105918763,,334062.59040000004,247039.3744,334062.59040000004,312129.188
Austria,2020,3.11,76.8,37.01,29.46,32.58,39.41,38.36,1.02,,6.31,33.089999999999996,0.02,39.41,AT,48716.4098900349,AT,8916864.0,10.793771211040454,16.003454873234418,,351413.61023999995,262690.81344,351413.61023999995,330013.13664
Austria,2021,3.0,88.99,36.51,28.72,31.729999999999997,38.58,37.95,0.62,,6.569999999999999,31.990000000000002,0.02,38.58,AT,53648.7190742245,AT,8955797.0,10.890212872176884,16.007811590074983,,345514.64826,257210.48984,345514.64826,326976.14846999996
Austria,2022,3.36,93.18,35.35,28.08,31.43,37.19,36.69,0.51,,6.17,30.98,0.04,37.19,AT,52176.6649141178,AT,9041851.0,10.862390641625412,16.017374468045748,,336266.43869,253895.17607999998,336266.43869,319629.43285000004
Austria,2023,2.96,92.2,37.11,29.98,32.96,39.28,38.6,0.68,,6.119999999999999,33.16,0.01,39.28,AT,56033.573792065,AT,9131761.0,10.933706322070936,16.02726911458544,,358695.57207999995,273770.19478,358695.57207999995,338879.65070999996
Belgium,2012,0.75,89.01,26.64,,24.64,31.48,20.15,0.83,,4.7700000000000005,25.54,0.0,30.31,BE,44874.1709182123,BE,11106932.0,10.711617650259736,16.22307997586528,,349646.21936,,336651.10891999997,295888.66848
Belgium,2013,0.99,72.58,27.740000000000002,,25.599999999999998,32.379999999999995,20.72,0.85,,1.52,29.89,0.0,31.39,BE,46964.5946777056,BE,11159407.0,10.757149292085947,16.227793377304945,,361341.59865999996,,350293.78573,309561.95018
Belgium,2014,0.69,69.68,26.61,,23.9,31.14,19.84,0.91,,1.59,29.549999999999997,0.0,31.14,BE,47995.7786961339,BE,11209057.0,10.7788683421922,16.232232670189696,,349050.03498,,349050.03498,298273.00677
Belgium,2015,0.62,71.56,27.44,,24.4,31.53,19.36,1.67,,2.0300000000000002,27.849999999999998,0.0,29.880000000000003,BE,40893.804537772,BE,11274196.0,10.618733852262814,16.238027132606476,,355475.39988,,336872.97648,309363.93824
Belgium,2016,0.0,75.96000000000001,29.81,,26.07,35.82,23.36,1.19,,1.1400000000000001,31.439999999999998,0.0,32.6,BE,41854.5498296444,BE,11331422.0,10.641955787562523,16.24309013263099,,405891.53604000004,,369404.35719999997,337789.68981999997
Belgium,2017,0.0,79.7,29.68,,26.03,34.56,21.26,2.4,,1.19,31.380000000000003,0.02,32.58,BE,44035.3239358548,BE,11375158.0,10.692747407539397,16.24694241281471,,393125.46048,,370602.64764,337614.68944
Belgium,2018,1.54,85.31,31.630000000000003,,27.78,38.269999999999996,23.38,2.77,,1.23,33.629999999999995,0.06,34.92,BE,47487.2100392561,BE,11427054.0,10.76821569143367,16.251494259767462,,437313.35657999996,,399032.72568000003,361437.71802000003
Belgium,2019,1.6,71.99,24.810000000000002,20.54,22.15,31.259999999999998,26.66,4.6,,0.85,30.419999999999998,0.0,31.259999999999998,BE,46716.6227467964,BE,11488980.0,10.75185532779159,16.256898873038445,,359145.51479999995,235983.64919999999,359145.51479999995,285041.59380000003
Belgium,2020,1.73,71.45,26.66,22.07,23.79,32.66,28.15,4.51,,0.38,32.28,0.0,32.66,BE,45906.2875805246,BE,11538604.0,10.734357370992296,16.26120884118944,,376850.80663999997,254656.99028,376850.80663999997,307619.18264
Belgium,2021,1.83,68.79,28.37,23.42,25.26,34.79,28.77,5.98,,1.01,33.96,0.0,34.97,BE,51658.238294958,BE,11586195.0,10.852404964151159,16.265324861154763,,403083.72405,271348.68690000003,405169.23915,328700.35215000005
Belgium,2022,1.57,75.15,27.060000000000002,22.97,24.55,33.2,26.52,6.65,,7.14,26.02,0.0,33.2,BE,50822.2518538518,BE,11680210.0,10.836089566279172,16.27340651465478,,387782.97200000007,268294.4237,387782.97200000007,316066.48260000005
Belgium,2023,2.01,81.6,31.36,26.29,28.3,33.93,26.81,7.12,,1.02,32.43,0.0,33.47,BE,54690.0942734964,BE,11787423.0,10.909437880118752,16.28254367355893,,399947.26239,309891.35067,394525.04781,369653.58528
Bosnia and Herzegovina,2019,,29.34,,,,,,,18.49,,,,,BA,6122.3753450882,BA,3345533.0,8.71970542848646,15.023136581152773,61858.90516999999,,,,
Bosnia and Herzegovina,2020,,27.36,,,,,,,19.14,,,,,BA,6130.31133245161,BA,3299349.0,8.721000815968733,15.009235734248612,63149.53986,,,,
Bosnia and Herzegovina,2021,,31.29,,,,,,,19.78,,,,,BA,7295.3438240957,BA,3244907.0,8.894991591319256,14.992597248233519,64184.26046,,,,
Bosnia and Herzegovina,2022,,33.19,,,,,,,20.4,,,,,BA,7655.59421024383,BA,3204802.0,8.943191928886375,14.9801608679574,65377.96079999999,,,,
Bosnia and Herzegovina,2023,,40.47,,,,,,,21.25,,,,,BA,8663.02322987879,BA,3185073.0,9.066819043391657,14.973985766662949,67682.80125,,,,
Bulgaria,2012,0.08,21.82,13.379999999999999,,13.26,15.78,10.33,0.19,,0.14,15.34,0.0,15.47,BG,7431.95789508871,BG,7305888.0,8.913544615123577,15.804191156353998,,115286.91264,,113022.08736,97752.78143999999
Bulgaria,2013,0.04,23.52,12.3,,12.18,14.61,9.36,0.34,,0.02,13.71,0.0,13.73,BG,7795.98092108928,BG,7160005.0,8.961363613355251,15.784021237260607,,104607.67305,,98306.86865,88068.0615
Bulgaria,2014,,27.43,15.3,,15.0,17.68,11.44,0.26,,0.11,16.97,0.24,17.34,BG,8069.60005667684,BG,7073572.0,8.995859200764126,15.771876143665825,,125060.75296,,122655.73848,108225.65160000001
Bulgaria,2015,0.0,28.68,22.88,,22.41,26.150000000000002,16.38,0.89,,0.1,24.03,0.45999999999999996,24.59,BG,7268.65445473873,BG,6984225.0,8.89132647151867,15.75916459247748,,182637.48375,,171742.09275,159799.068
Bulgaria,2016,0.0,30.770000000000003,21.88,,21.33,26.17,15.78,1.45,,0.0,19.34,0.33,19.67,BG,7822.49923292968,BG,6894139.0,8.964759377483547,15.746182188315798,,180419.61763000002,,135607.71413000004,150843.76132
Bulgaria,2017,0.0,32.16,20.64,,19.59,23.4,13.36,2.04,,0.65,20.59,1.37,22.61,BG,8696.68930427924,BG,6803468.0,9.070697692481037,15.732943040140535,,159201.1512,,153826.41147999998,140423.57952
Bulgaria,2018,0.02,36.04,20.03,,18.76,23.16,9.950000000000001,13.209999999999999,,0.09,18.23,2.33,20.65,BG,9872.38507789106,BG,6710798.0,9.19749675246414,15.719228428851277,,155422.08168,,138577.97869999998,134417.28394
Bulgaria,2019,,26.95,17.3,15.5,15.5,18.67,,,,0.05,18.56,0.06,18.67,BG,10372.8044341114,BG,6616726.0,9.246942701895517,15.705111243643566,,123534.27442000002,102559.253,123534.27442000002,114469.3598
Bulgaria,2020,0.25,32.93,24.85,24.0,24.26,28.759999999999998,28.759999999999998,,,,27.15,0.97,28.119999999999997,BG,10769.9475699414,BG,6550696.0,9.284514901980868,15.695081861508275,,188398.01695999998,157216.704,184205.57151999997,162784.7956
Bulgaria,2021,0.57,42.18,33.17,32.49,33.05,36.949999999999996,36.949999999999996,,,0.02,32.45,3.0,35.47,BG,12972.2173356002,BG,6507301.0,9.47056522149594,15.688435335283392,,240444.77194999997,211422.20949,230813.96646999998,215847.17417
Bulgaria,2022,0.11,39.83,35.13,34.73,34.83,40.699999999999996,40.699999999999996,,,0.0,37.699999999999996,1.29,39.0,BG,13999.6719197289,BG,6465097.0,9.546789174017729,15.681928573942514,,263129.44789999997,224532.81880999997,252138.783,227118.85761
